一切	hVX OMS
推廣	FSg dqh
推敲	FSg ejQ
推理	YGg IHR
推薦	YGg NfS
推行	FSg jrQ
援引	kZs lVR
擅長	ZgS LpQ
操作	OkQ NqT
支援	XFQ kgq
政治	XuS LHS
效率	jjS IVj
救援	dyO kgq
教學	djS jED
教師	djS VGQ
教徒	djS GLA
教授	djS ZyC
教授	djQ ZyC
教書	djQ aJQ
教會	djS jOi
教會	djQ jOi
教育	djS lBD
教養	djS lpR
數字	VKi PHS
數學	VKi jED
數量	VKi IpS
料理	IhQ IHR
旁聽	CqA FvQ
旅舍	IJR aoS
暴雨	CkC kKt
暴露	CAD ILC
曲調	eDP GhS
書畫	aJQ jPi
曾經	PxQ dvQ
會計	dOi dMS
朝廷	LiQ GvQ
朝陽	LiQ lpQ
朝陽	JiQ lpQ
朝霞	JiQ jnQ
枸杞	dzB eHd
校友	jjS kyN
校園	jjS kZs
校對	djS ESi
校慶	jjS esa
校服	jjS CBP
校歌	jjS dlQ
校舍	jjS aoS
校規	jjS dFk
校訓	jjS iXu
校長	jjS JpR
概率	dTS IVj
樂園	IqT kZs
樂意	IqT hHe
樂曲	gED eDP
樂章	gED XpQ
樂觀	IqT dcg
樸素	BED QLC
樹幹	ZKi dcS
樹立/豎立	ZKh I1T
次數	OGS VKi
次要	OGS hiW
歡樂	icg IqT
正在	XuS PTR
正好	XuS ikR
步行	CLC jrQ
母校	DzB jjS
決斷	dfj Eci
汽車	eIe YoQ
注重	XKi LDB
測量	TwT IpQ
滑稽	daj dMQ
火車	ilh YoQ
照相	XiS QpS
燕子	hfS NHR
爲了	kFq IhR
爲何	kFq jlQ
爲難	kFo HcQ
爲首	kFo ayB
物種	DXP XDB
理論	IHR Iai
相互	QpQ jLC
相似	QpQ RHR
相傳	QpQ Lgg
相同	QpQ GAA
相應	QpQ hwe
相機	QpS dIc
相比	QpQ AGF
相片	QpS BfC
相符	QpQ CKM
相處	QpQ YJR
相貌	QpS DjC
相通	QpQ FAA
相逢	QpQ CDM
相鄰	QpQ IVQ
相類	QpQ IGi
看守	ecQ ayB
睡覺	ZFi djS
票價	BiG dnS
種子	XDB NHR
種族	XDB PAD
種植	XDC ZwT
積分	NuT AXM
空缺	eAC egn
空閒	eAA deQ
答應	E2T hwe
節省	NfT VsR
簡易	deR lFS
素質	QLC XVT
給予	d1b lJR
經過	dvQ dlg
翹楚	fiU TJR
聲調	auQ GhS
至少	XGS aiR
芍藥	ZpT lpT
花費	ing BIO
茶几	LnQ dGZ
荷花	jlQ ing
荸薺	CaD PGQ
華僑	jng fiY
著名	JJS DuE
藏品	PqQ B1J
處方	YJR ApM
處於	YJR hJc
處理	YJR IHR
處置	YJR JHS
行事	jrQ UHS
行人	jrQ cVQ
行列	jqQ IgT
行動	jrQ GAB
行情	jqQ PuQ
行政	jrQ XuS
行星	jrQ QvQ
行李	jrQ IHR
行業	jqQ g8f
行爲	jrQ kFo
行走	jrQ NzB
行蹤	jrQ NDA
行車	jrQ YoQ
行銷	jrQ QiQ
複雜	ABP P2T
要求	hiU fyM
覆蓋	ByO dOS
觀光	dcg dqg
觀感	dcg d2R
觀望	dcg DpO
觀看	dcg ecS
觀衆	dcg XBC
計劃	dMS jtj
評論	CsI Iai
說服	aNi CBP
調整	GhQ XuR
調理	GhQ IHR
調節	GhQ NfT
調解	GhQ dPR
負荷	CyN jlR
貫穿	dcg Ygg
貿易	DzC luT
車票	YoQ BiG
車道	YoQ GkR
車隊	YoQ GSi
輸贏	aKg luQ
輸送	aKi QAC
轉型	Jgh jvQ
轉換	Jgh jci
轉賬	Jgh JpS
轉載	Jgh PTS
轉運	Jgh kXu
這些	XoR QoQ
造訪	OkS BpO
進度	NVS GLC
進行	NVS jrQ
遊說	lyA aNi
運載	kXu PTS
運輸	kXu aKi
過去	dli eJe
過錯	dli OqT
道觀	GkR dci
避難	CFG HcS
邪惡	RoQ hqT
部署	CzB ZJS
部隊	CLB GSi
郵遞	kyM GMS
重新	LDA QVQ
重組	LDA NLB
重複	LDA CyO
重要	LDB hiW
重視	LDB ZGS
重量	LDB IpS
重點	LDB E5R
銀行	gVY jqQ
錯亂	OqT Ici
錯誤	OqT gLC
附着	CKO LpT
附近	CKO fYd
降落	dEC IqT
院校	kgq jjS
電腦	GfS HkR
面相	DgG QpS
音樂	h1Y gED
頻率	CVE IVj
馬車	DnB YoQ
高校	dkQ jjS
暴風雨	CkC ABM kKt
自行車	PGS jrQ YoQ
審時度勢	a1R ZHQ GqT aNS
一代	hVX GTS
一共	hVX fDO
一再	hVX NTS
一半	hVX AcC
一同	hVX GAA
一向	hVX ipe
一如	hVX cJQ
一定	hVX GvS
一帶	hVX EOS
一度	hVX GLC
一律	hVX IVj
一心	hVX Q1Q
一手	hVX ayB
一旁	hVX CqA
一旦	hVX EcS
一早	hVX NkR
一時	hVX ZHQ
一氣	hVX eIe
一流	hVX IyA
一直	hVX LwT
一線	hVX QgS
一致	hVX JGS
一舉	hVX dJd
一起	hVX eHd
一身	hVX aVQ
一連	hVX IgQ
一邊	hVX AfA
一陣	hVX LVS
一面	hVX DgG
一頭	hVX GzA
一體	hVX FMR
一齊	hVX PMQ
丈夫	LpR AKM
三角	Q3Q dED
上來	ZpR ITQ
上去	ZpR eJe
上司	ZpS QHQ
上場	ZpR LpQ
上學	ZpR jED
上層	ZpS PxQ
上山	ZpR VeQ
上岸	ZpR gcS
上市	ZpR ZHR
上流	ZpS IyA
上游	ZpS lyA
上班	ZpR AdA
上空	ZpS eAA
上等	ZpS ExR
上級	ZpS d1b
上衣	ZpS hIc
上課	ZpR eli
上身	ZpS aVQ
上邊	ZpS AfA
上門	ZpR DaA
上陣	ZpR LVS
上面	ZpS DgG
上馬	ZpR DnB
下層	jnR PxQ
下屬	jnR ZDD
下巴	jnR AnA
下旬	jnR RVg
下身	jnR aVQ
下邊	jnR AfA
下面	jnR DgG
丘陵	eyM IwQ
並排	CvB CQA
並進	CvB NVS
丫頭	hnQ GzA
中堅	JBA dfQ
中場	JBA LpQ
中年	JBA HfQ
中庸	JBA lDA
中心/忠心	JBA Q1Q
中性	JBA QuS
中流	JBA IyA
中程	JBA LuQ
中立	JBA I1T
中等	JBA ExR
中裝	JBA SpQ
中途	JBA GLA
中鋒	JBA BDM
主人	XKh cVQ
主力	XKh IwT
主動	XKh GAB
主場	XKh LpQ
主婦	XKh CyN
主宰	XKh NTR
主導	XKh GkS
主席	XKh RuT
主廚	XKh LKg
主意	XKh hHe
主持	XKh LHQ
主教	XKh djS
主旨	XKh XGR
主權	XKh fgo
主流	XKh IyA
主演	XKh lgR
主管	XKh dch
主義	XKh gFa
主講	XKh dEB
主辦	XKh CeC
主體	XKh FMR
乃至	HTR XGS
久違	dyN kIs
之前	XHQ PfQ
乏力	C9P IwT
乏味	C9P DIO
乞丐	eYf dOS
也許	loR iJd
乳糖	cKh GqQ
乳豬	cKh JJQ
乳酪	cKh IqT
亂倫	Ici IVg
了結	IhR dfT
二手	cGS ayB
二胡	cGS jLA
互利	jLC IGS
互助	jLC UJS
互動	jLC GAB
互惠	jLC jMi
互換	jLC jci
互補	jLC ALB
互訪	jLC BpO
交付	djQ AKO
交代	djQ GTS
交往	djQ kpt
交待	djQ GTR
交接	djQ N4T
交換	djQ jci
交替	djQ FMS
交流	djQ IyA
交界	djQ dQS
交融	djQ lBA
交談	djQ G3Q
交通	djQ FAA
交鋒	djQ BDM
交際	djQ NNS
京劇	dsY fsb
京城	dsY ZuQ
京師	dsY VGQ
亮相	IpS QpS
人中	cVQ JBA
人力	cVQ IwT
人口	cVQ ezB
人名	cVQ DuE
人員	cVQ kXs
人均	cVQ dVk
人士	cVQ UHR
人家	cVQ dnQ
人工	cVQ dAA
人心	cVQ Q1Q
人性	cVQ QuS
人情	cVQ PuQ
人才	cVQ PTQ
人文	cVQ DXM
人權	cVQ fgo
人次	cVQ OGS
人民	cVQ DVE
人氣	cVQ eIe
人流	cVQ IyA
人潮	cVQ LiQ
人煙	cVQ hfQ
人物	cVQ DXP
人生	cVQ VsQ
人緣	cVQ lgg
人身	cVQ aVQ
人間	cVQ deS
人際	cVQ NNS
人類	cVQ IGi
人體	cVQ FMR
什錦	Z1T d1Z
仁愛	cVQ hTS
仇人	fyM cVQ
仇恨	fyM jbS
今天	d1Y FfQ
今年	d1Y HfQ
今日	d1Y cVT
介入	dQS c1T
介意	dQS hHe
介紹	dQS ZiR
仍然	cwQ cgQ
仍舊	cwQ fyO
他人	FlQ cVQ
付款	AKO ech
仙丹	QgQ EcQ
仙境	QgQ dsZ
仙子	QgQ NHR
代價	GTS dnS
代替	GTS FMS
代理	GTS IHR
代表	GTS AiJ
代課	GTS eli
代謝	GTS RoS
以來	lHR ITQ
以免	lHR DgJ
以前	lHR PfQ
以及	lHR f1b
以外	lHR gOi
以往	lHR kpt
以期	lHR fHc
以至	lHR XGS
以致	lHR JGS
仿照	BpN XiS
仿製	BpN XNS
休息	iyM QwT
休憩	iyM eNa
休會	iyM jOi
休閒	iyM deQ
伯伯	ArD ArD
估價/股價	dLB dnS
估算	dLB Qch
估計	dLB dMS
伶人	IvQ cVQ
伶仃	IvQ EvQ
伸展	aVQ JgR
伸手/身手	aVQ ayB
似乎	RHR jLA
似的	RHR EvT
佇立	LJR I1T
佈局	ALC fDP
佈景	ALC dsZ
佈置	ALC JHS
位置	kGq JHS
低估	EMQ dLB
低廉	EMQ I4Q
低沉	EMQ L1Q
低溫	EMQ hag
低潮	EMQ LiQ
低窪	EMQ hng
低級	EMQ d1b
低落	EMQ IqT
低迷	EMQ DMA
低音	EMQ h1Y
低頭	EMQ GzA
住房	LKi CpM
住所	LKi VJR
佐酒	NlS NyB
佔據	E5Q dJe
佔有	E5Q kyN
佔用	E5Q lDC
佔領	E5Q IuR
佛像	CXP RpR
佛學	CXP jED
佛寺	CXP RHS
佛祖	CXP NLB
佛陀	CXP GlQ
佩戴	CSC ETS
佩服	CSC CBP
佳節	dPQ NfT
來信	ITQ QVS
來勢	ITQ aNS
來回	ITQ jSg
來往	ITQ kpt
來源	ITQ gZs
例外	INS gOi
例子	INS NHR
例證	INS XwS
侍奉	ZHS CDN
侍者	ZHS XoR
依偎	hIc hSg
依存	hIc Pag
依循	hIc RVg
依戀	hIc Igi
依據	hIc dJe
依次	hIc OGS
依法	hIc A9P
依然	hIc cgQ
依照	hIc XiS
依稀	hIc iIc
依舊	hIc fyO
依賴	hIc IOS
依附	hIc CKO
依靠	hIc ekS
侮辱	DKN cDD
侵佔	O1Q E5Q
侵入	O1Q c1T
侵擾	O1Q ciR
侵權	O1Q fgo
侵犯	O1Q C9N
侵略	O1Q IpT
侵蝕	O1Q bwT
促成	ODD ZuQ
促進	ODD NVS
促銷	ODD QiQ
俗名	RDD DuE
俘虜	BKM ILB
保佑	AkB kyO
保存	AkB Pag
保安	AkB hcQ
保密	AkB DVL
保持	AkB LHQ
保暖	AkB Hch
保本	AkB AaB
保稅	AkB aNi
保管	AkB dch
保育	AkB lBD
保證	AkB XwS
保護	AkB jLC
保釋	AkB auT
保險	AkB i4Z
俠義/協議	j5T gFa
信奉	QVS CDN
信徒	QVS GLA
信心	QVS Q1Q
信念	QVS H5S
訊息/信息	QVS QwT
信服	QVS CBP
信物	QVS DXP
信用	QVS lDC
信箱	QVS QpQ
信託	QVS FqT
信貸	QVS FTS
修剪	QyA NgR
修士	QyA UHR
修建	QyA dZe
修改	QyA dTR
修業	QyA g8f
修理	QyA IHR
修繕	QyA ZgS
修習	QyA R1T
修補	QyA ALB
修身	QyA aVQ
修辭	QyA RHQ
修飾	QyA awT
俯瞰	AKN e3S
俯身	AKN aVQ
俱全	dKs Pgg
倉庫	OqQ eLC
個人	dlS cVQ
個別	dlS CgL
個性	dlS QuS
個案	dlS hcS
個體	dlS FMR
倔強	fXv fpc
倫理	IVg IHR
值得	LHS ExT
偏偏	BgE BgE
偏向	BgE ipe
偏執	BgE X1T
偏好	BgE ikS
偏愛	BgE hTS
偏激	BgE dvT
停工	GvQ dAA
停機	GvQ dIc
停歇	GvQ iZf
停止	GvQ XHR
停滯	GvQ LNS
停站	GvQ J6S
停職	GvQ XwT
停課	GvQ eli
停靠	GvQ ekS
停頓	GvQ Eai
健全	fZe Pgg
健壯	fZe SpS
健康	fZe eqQ
健碩	fZe ZuT
健身	fZe aVQ
側目	SwT DBP
側面	SwT DgG
偷偷	FzA FzA
偷懶	FzA IcR
偷渡	FzA GLC
偷襲	FzA R1T
偷閒	FzA deQ
備份	CGK AVI
備戰	CGK XgS
備案	CGK hcS
備用	CGK lDC
催促	OSg ODD
催化	OSg ini
催淚	OSg IGi
催眠	OSg DfA
傲慢	gkS DdC
傳教	Lgg djS
傾向	euk ipe
傾慕	euk DLC
傾盆	euk CaA
傾訴	euk QLC
傾談	euk G3Q
傾軋	euk heT
傾銷	euk QiQ
僵化	dpc ini
僵持	dpc LHQ
僵硬	dpc gtS
價值	dnS LHS
價目	dnS DBP
價碼	dnS DnB
價錢	dnS PgQ
儀器	gFY eGa
儀容	gFY lDA
儀式	gFY awT
儀表	gFY AiJ
儒學	cKg jED
儒家	cKg dnQ
儒雅	cKg gnR
優劣	hyM Igj
優勢	hyM aNS
優化	hyM ini
優惠	hyM jMi
優異	hyM lHS
優秀	hyM QyC
優美	hyM DGJ
優良	hyM IpQ
優雅	hyM gnR
優點	hyM E5R
儲備	LJQ CGK
儲存	LJQ Pag
儲蓄	LJQ KBD
儼然	g8d cgQ
允許	lVh iJd
允諾	lVh HqT
元宵	gZs QiQ
元旦	gZs EcS
元素	gZs QLC
元老	gZs IkR
充公	YBA dAA
充實	YBA bVT
充斥	YBA YuT
充滿	YBA DcB
充裕	YBA lKi
充電	YBA GfS
充飢	YBA dGY
兆頭	LiR GzA
光亮	dqg IpS
光彩	dqg OTR
光影	dqg hsZ
光榮	dqg kso
光照	dqg XiS
光線	dqg QgS
光纜	dqg I3S
光輝	dqg iIs
光顧	dqg dLC
克制	exT XNS
克服	exT CBP
免得	DgJ ExT
免疫	DgJ luj
免稅	DgJ aNi
免職	DgJ XwT
兒化	cFQ ini
兒子	cFQ NHR
兒歌	cFQ dlQ
兒科	cFQ elg
兒童	cFQ GAA
兔子	FLC NHR
兜售	EzA ZyC
入伍	c1T gLB
入侵	c1T O1Q
入口	c1T ezB
入境	c1T dsZ
入夜	c1T loS
入學	c1T jED
入座	c1T Pli
入手	c1T ayB
入睡	c1T ZFi
入股	c1T dLB
入門	c1T DaA
全力	Pgg IwT
全局	Pgg fDP
全文	Pgg DXM
全新	Pgg QVQ
全民	Pgg DVE
全然	Pgg cgQ
全球	Pgg fyM
全盤	Pgg CcA
全程	Pgg LuQ
全職	Pgg XwT
全貌	Pgg DjC
全身	Pgg aVQ
全都	Pgg ELA
全面	Pgg DgG
全體	Pgg FMR
八卦	AeD dPi
八字	AeD PHS
八成	AeD ZuQ
公主	dAA XKh
公佈	dAA ALC
公元	dAA gZs
公公	dAA dAA
公共	dAA fDO
公務	dAA DKO
公升	dAA awQ
公司	dAA QHQ
公園	dAA kZs
公安	dAA hcQ
公寓	dAA gKu
公幹	dAA dcS
公廁	dAA THS
公式	dAA awT
公映	dAA hsa
公會	dAA jOi
公有	dAA kyN
公正	dAA XuS
公民	dAA DVE
公法	dAA A9P
公演	dAA lgR
公營	dAA lug
公爵	dAA NpT
公理	dAA IHR
公益	dAA huX
公社	dAA ZoR
公私	dAA QGQ
公立	dAA I1T
公職	dAA XwT
公證	dAA XwS
公路	dAA ILC
公開	dAA eTQ
共同	fDO GAA
兵力	AsI IwT
兵器	AsI eGa
兵團	AsI Gcg
具備	fKu CGK
具有	fKu kyN
具體	fKu FMR
典型	EfR jvQ
典故	EfR dLC
典禮	EfR IMR
典範	EfR C9N
典籍	EfR PuT
典雅	EfR gnR
再會	NTS jOi
再現	NTS jfS
再生	NTS VsQ
再者	NTS XoR
冤家	hZs dnQ
冥想	DvA QpR
冬天	ECA FfQ
冬季	ECA dGm
冬瓜	ECA dng
冬至	ECA XGS
冰塊	AwI eSi
冰山	AwI VeQ
冰川	AwI Ygg
冰箱	AwI QpQ
冰糖	AwI GqQ
冰雪	AwI Qgj
冰雹	AwI CED
冶金	loR d1Y
准許	XVh iJd
凋謝	EhQ RoS
凌亂	IwQ Ici
凌駕	IwQ dnS
凜冽	I1R IgT
凡是	C9M ZFR
凡間	C9M deS
凶兆	iDM LiR
凹陷	h6T j6S
刀具	EkQ fKu
刀鋒	EkQ BDM
刊物	ecQ DXP
刊登	ecQ ExQ
刑期	jvQ fHc
刑法	jvQ A9P
刑罰	jvQ CZP
刑警	jvQ dsZ
列表	IgT AiJ
初中	TJQ JBA
初冬	TJQ ECA
初夜	TJQ loS
初戀	TJQ Igi
初期	TJQ fHc
初步	TJQ CLC
初秋	TJQ OyA
初級	TJQ d1b
初賽	TJQ QTS
判刑	BcC jvQ
判定	BcC GvS
別人	CgL cVQ
別名	CgL DuE
別墅	CgL ZJR
別字	CgL PHS
別致	CgL JGS
利器	IGS eGa
利害	IGS jOS
利息	IGS QwT
利潤	IGS cVi
利用	IGS lDC
利益	IGS huX
利落	IGS IqT
刪減	VdQ d6R
到位	EkS kGq
到來	EkS ITQ
到場	EkS LpQ
到底	EkS EMR
到訪	EkS BpO
制服	XNS CBP
制止	XNS XHR
制衡	XNS jrQ
刻意	exT hHe
刻板	exT AdB
剃刀	FMS EkQ
削弱	QpT cpT
剋星	exT QvQ
前人	PfQ cVQ
前夕	PfQ RuT
前天	PfQ FfQ
前奏	PfQ NzC
前往	PfQ kpt
前日	PfQ cVT
前景	PfQ dsZ
前期	PfQ fHc
前瞻	PfQ X4Q
前端	PfQ Ecg
前線	PfQ QgS
前者	PfQ XoR
前言	PfQ gZc
前途	PfQ GLA
前進	PfQ NVS
前邊	PfQ AfA
前鋒	PfQ BDM
前面	PfQ DgG
前頭	PfQ GzA
剛勁	dqQ duW
剪報	NgR AkC
剪影	NgR hsZ
剪接	NgR N4T
剪輯	NgR P1T
割裂	dcT IgT
割讓	dcT cpS
劃一	jtj hVX
劇團	fsb Gcg
劇場	fsb LpQ
劇壇	fsb GcQ
劇情	fsb PuQ
劇本	fsb AaB
劇烈	fsb IgT
劇照	fsb XiS
力圖	IwT GLA
力學	IwT jED
力挫	IwT Nli
力氣	IwT eIe
力求	IwT fyM
力爭	IwT StQ
功利	dAA IGS
功力	dAA IwT
功效	dAA jjS
功用	dAA lDC
功課	dAA eli
加以	dnQ lHR
加倍	dnQ CSB
加入	dnQ c1T
加劇	dnQ fsb
加工	dnQ dAA
加強	dnQ fpc
加快	dnQ eRi
加油	dnQ lyA
加深	dnQ a1Q
加熱	dnQ cgT
加碼	dnQ DnB
加緊	dnQ dVV
加薪	dnQ QVQ
加速	dnQ QAD
助手	UJS ayB
助理	UJS IHR
努力	HLB IwT
勁敵	duW GvT
勁旅	duW IJR
勇敢	lDB d3R
勇氣	lDB eIe
勉強	DgJ fpc
動人	GAB cVQ
動力	GAB IwT
動員	GAB kXs
動容	GAB lDA
動工	GAB dAA
動感	GAB d2R
動態	GAB FTS
動手	GAB ayB
動搖	GAB liQ
動機	GAB dIc
動物	GAB DXP
動用	GAB lDC
動詞	GAB RHQ
動議	GAB gFa
動輒	GAB J4T
動靜	GAB PuR
勘察	e2S TeT
勘探	e2S F2Q
勘測	e2S TwT
務實	DKO bVT
募捐	DLC lgg
募集	DLC P1T
勢力	aNS IwT
勢必	aNS AVH
勢頭	aNS GzA
勤勉	fYc DgJ
勤快	fYc eRi
勵志	INS XHS
勸勉	eZu DgJ
包含	AjA j2Q
包容	AjA lDA
包括	AjA dcj
包機	AjA dIc
包紮	AjA SeT
包裝	AjA SpQ
包銷	AjA QiQ
化學	ini jED
化工	ini dAA
化石	ini ZuT
化身	ini aVQ
化驗	ini g4a
北極	AxD fwf
北邊	AxD AfA
匱乏	fGq C9P
匹配	BVH BSC
匾額	AfB grT
匿名	MwT DuE
千古	OfQ dLB
千萬	OfQ DZO
千金	OfQ d1Y
升旗	awQ fHc
升溫	awQ hag
升級	awQ d1b
升職	awQ XwT
午睡	gLB ZFi
午餐	gLB OcQ
半價	AcC dnS
半夜	AcC loS
半天	AcC FfQ
半死	AcC QGR
半途	AcC GLA
半邊	AcC AfA
卑劣	AFE Igj
卑微	AFE DIM
卑賤	AFE PgS
協力	j5T IwT
協助	j5T UJS
協同	j5T GAA
協商	j5T apQ
協定	j5T GvS
協會	j5T jOi
協辦	j5T CeC
南北	H2Q AxD
南極	H2Q fwf
南瓜	H2Q dng
博士	AqD UHR
博弈	AqD luT
博愛	AqD hTS
印發	hVW AZP
印章	hVW XpQ
印花	hVW ing
印製	hVW XNS
印證	hVW XwS
印象	hVW RpR
危及	gFo f1b
危害	gFo jOS
危急	gFo d1b
危機	gFo dIc
危殆	gFo GTR
危險	gFo i4Z
即刻	NwT exT
即席	NwT RuT
即日	NwT cVT
即時	NwT ZHQ
卻步	epf CLC
原來	gZs ITQ
原則	gZs NxT
原因	gZs hVU
原始	gZs aHR
原子	gZs NHR
原本	gZs AaB
原理	gZs IHR
原籍	gZs PuT
原諒	gZs IpS
原貌	gZs DjC
厲害	INS jOS
及早	f1b NkR
及時	f1b ZHQ
及第	f1b GMS
及至	f1b XGS
友人	kyN cVQ
友善	kyN ZgR
友愛	kyN hTS
友誼	kyN gFa
叔叔	aBD aBD
受制	ZyB XNS
受困	ZyB eai
受孕	ZyB lwS
受害	ZyB jOS
受審	ZyB a1R
受惠	ZyB jMi
受挫	ZyB Nli
受損	ZyB Qah
受熱	ZyB cgT
受用	ZyB lDC
受益	ZyB huX
受聘	ZyB BuG
受虐	ZyB gpf
受訓	ZyB iXu
受託	ZyB FqT
受訪	ZyB BpO
受賄	ZyB iSh
叛亂	CcC Ici
叛逆	CcC gsb
叢林	PAA I1Q
口吻	ezB DXN
口味	ezB DIO
口岸	ezB gcS
口感	ezB d2R
口水	ezB aGh
口琴	ezB f1Y
口碑	ezB AFI
口福/口腹	ezB ABP
口紅	ezB jAA
口罩	ezB JjS
口腔	ezB eEA
口袋	ezB GTS
口角	ezB dED
口訣	ezB dfj
口述	ezB bVj
口音	ezB h1Y
叩頭/口頭	ezB GzA
古人	dLB cVQ
古代	dLB GTS
古典	dLB EfR
古塔	dLB F3T
古墓	dLB DLC
古板	dLB AdB
古物	dLB DXP
古玩	dLB gci
古琴	dLB f1Y
古箏	dLB StQ
古籍	dLB PuT
古老	dLB IkR
古舊	dLB fyO
古董	dLB EAB
古裝	dLB SpQ
古詩	dLB aHQ
古蹟	dLB NuT
召開	LiS eTQ
召集	LiS P1T
可人	elR cVQ
可以	elR lHR
可信	elR QVS
可口	elR ezB
可悲	elR AGI
可惜	elR QuT
可愛	elR hTS
可憐	elR IfQ
可是	elR ZFR
可疑	elR gHc
可謂	elR kIu
可靠	elR ekS
史前	VHR PfQ
史學	VHR jED
史實	VHR bVT
史籍	VHR PuT
司儀	QHQ gFY
司機	QHQ dIc
司法	QHQ A9P
各個	dqT dlS
各自	dqT PGS
吉利	dVX IGS
吉祥	dVX RpQ
同一	GAA hVX
同化	GAA ini
同學	GAA jED
同年/童年	GAA HfQ
同志	GAA XHS
同性	GAA QuS
同情	GAA PuQ
同意	GAA hHe
同時	GAA ZHQ
同期	GAA fHc
同業	GAA g8f
同步	GAA CLC
同等	GAA ExR
同鄉	GAA ipc
同類	GAA IGi
名人	DuE cVQ
名冊	DuE TtT
名利	DuE IGS
名城	DuE ZuQ
名堂	DuE GqQ
名字	DuE PHS
名家	DuE dnQ
名山	DuE VeQ
名師	DuE VGQ
名流	DuE IyA
名片	DuE BfC
名義	DuE gFa
名詞	DuE RHQ
名額	DuE grT
君主	dXs XKh
君子	dXs NHR
吝嗇	IVS VwT
含意	j2Q hHe
含義	j2Q gFa
吸引	i1b lVR
吸管	i1b dch
吸納	i1b H2T
吸附	i1b CKO
呢喃	MGQ M6Q
周全	XyA Pgg
周會	XyA jOi
周遊	XyA lyA
味精	DIO NuQ
味道	DIO GkR
呼吸	iLA i1b
呼喚	iLA ici
呼救	iLA dyO
呼籲	iLA lKi
命名	DsK DuE
命案	DsK hcS
命運	DsK kXu
咆哮	CjA ijQ
咨詢	NGQ QVg
咫尺	XFR YuT
哀愁	hTQ UyA
品味	B1J DIO
品嘗	B1J ZpQ
品德	B1J ExT
品性	B1J QuS
品類	B1J IGi
員工	kXs dAA
哥哥	dlQ dlQ
哭泣	eAD e1b
哭訴	eAD QLC
哮喘	ijQ Ygh
哲學	JgT jED
哲理	JgT IHR
哺乳	CLC cKh
唐樓	GqQ IzA
唐突	GqQ Gaj
售價	ZyC dnS
售罄	ZyC evS
售賣	ZyC DPC
唱功	YpS dAA
唱曲	YpS eDP
唱機	YpS dIc
唱歌	YpS dlQ
唱片	YpS BfC
唱腔	YpS eEA
唾沫	Fli DcD
商人	apQ cVQ
商務	apQ DKO
商品	apQ B1J
商場	apQ LpQ
商家	apQ dnQ
商店	apQ E5S
商旅	apQ IJR
商會	apQ jOi
